NDVI,GNDVI,SAVI,RVI,EVI,label,label_str
0.66996473,0.60312074,0.3632184,5.059957,0.37089202,1,Sehat
0.74344325,0.65900666,0.4851994,6.7955465,0.5522336,1,Sehat
0.7414695,0.6,0.49534112,6.7360306,0.6325966,1,Sehat
0.7996127,0.6934639,0.54270697,8.980677,0.6033821,1,Sehat
0.6769759,0.5816767,0.47330484,5.191489,0.5695836,1,Sehat
0.6916913,0.59514815,0.5050298,5.4870043,0.59261405,1,Sehat
0.77108675,0.63844305,0.57918125,7.7369337,0.6666093,1,Sehat
0.7646044,0.71046025,0.47026554,7.4963326,0.4922194,1,Sehat
0.743096,0.6490891,0.49172908,6.78501,0.55341715,1,Sehat
0.6550087,0.58880824,0.47248757,4.797247,0.5533669,1,Sehat
0.7354234,0.6421853,0.5640211,6.5592484,0.6542072,1,Sehat
0.7703784,0.6917355,0.55527276,7.709981,0.62872773,1,Sehat
0.73306036,0.6318427,0.5433991,6.492331,0.6546618,1,Sehat
0.76656425,0.6279822,0.54833645,7.567669,0.6358276,1,Sehat
0.71049595,0.6071526,0.4364667,5.9083667,0.49645394,1,Sehat
0.69379014,0.5613896,0.5025853,5.5314684,0.5918889,1,Sehat
0.74643755,0.6325171,0.5467663,6.8876033,0.63906133,1,Sehat
0.56567955,0.48158798,0.43533307,3.604895,0.6055434,1,Sehat
0.8002479,0.67728096,0.6366582,9.012411,0.718922,1,Sehat
0.79960006,0.6825924,0.56820333,8.980044,0.6605609,1,Sehat
0.71235746,0.5981755,0.49386898,5.953075,0.5766984,1,Sehat
0.7630108,0.6373078,0.5515026,7.4392014,0.6291896,1,Sehat
0.77792674,0.6824524,0.5511819,8.006036,0.6604203,1,Sehat
0.8014027,0.65817195,0.62516797,9.070632,0.76724625,1,Sehat
0.672404,0.58800286,0.5183727,5.1050806,0.59410405,1,Sehat
0.5059222,0.40695575,0.34360296,3.0479453,0.5638774,1,Sehat
0.76326925,0.64066046,0.63112545,7.4484177,0.81946576,1,Sehat
0.6706763,0.6137361,0.4305572,5.073052,0.46649563,1,Sehat
0.8036477,0.6740501,0.61187714,9.185771,0.71394104,1,Sehat
0.65473247,0.540023,0.4840771,4.79261,0.69068813,1,Sehat
0.7383269,0.66348606,0.49978054,6.6431227,0.54225916,1,Sehat
0.7966238,0.65555555,0.59603053,8.833992,0.7259541,1,Sehat
0.7670683,0.67099744,0.5593978,7.586207,0.6512455,1,Sehat
0.7066908,0.5735245,0.55669516,5.818742,0.7187787,1,Sehat
0.5418617,0.48217496,0.41972142,3.3654947,0.5452729,1,Sehat
0.75662416,0.6415994,0.57280827,7.217742,0.6596509,1,Sehat
0.56384385,0.5188579,0.4033271,3.5855134,0.4586665,1,Sehat
0.71750915,0.6318285,0.51623476,6.079877,0.5750704,1,Sehat
0.7042493,0.63611645,0.43716297,5.762452,0.46580473,1,Sehat
0.76173115,0.65964276,0.5156919,7.393878,0.57909137,1,Sehat
